WAST,Sx,DP,Dta,Dts,EV,QNH,QFE,QFF,RF,RH,S,SR,T,ST1,ST2,ST3,ST4
18/9/2015 0:00,0,8.3,138,1,0,1021.1,1017.5,1021.1,0,87.8,0,11,10.23,17.6,17.6,17.1,17
18/9/2015 0:10,4,8.3,142,2,0,1021,1017.4,1021,0,89.1,2,22,10.05,17.5,17.5,17.1,17
18/9/2015 0:20,4,8.3,142,1,0,1020.9,1017.3,1020.9,0,89.4,3,10,10.03,17.4,17.5,17.1,17
18/9/2015 0:30,4,8.2,142,1,0,1020.9,1017.3,1020.9,0,88.8,3,14,9.96,17.4,17.5,17.1,16.9
18/9/2015 0:40,4,8,144,1,0,1020.9,1017.3,1020.9,0,88.7,2,21,9.85,17.2,17.4,17.2,17
18/9/2015 0:50,4,8,149,4,0,1020.8,1017.2,1020.8,0,88.7,3,14,9.86,17.2,17.4,17.1,17
18/9/2015 1:00,4,8,152,1,0,1020.8,1017.2,1020.8,0,88.7,3,13,9.82,17.1,17.3,17.1,17
18/9/2015 1:10,4,8,151,0,0,1020.8,1017.2,1020.8,0,88.5,3,17,9.9,17,17.3,17.1,17
18/9/2015 1:20,4,8.1,151,0,-0.1,1020.8,1017.2,1020.8,0,88.1,3,21,10.07,16.9,17.2,17.1,17
18/9/2015 1:30,3,7.8,151,0,0,1020.8,1017.2,1020.8,0,88.5,3,9,9.68,16.9,17.2,17.1,17
18/9/2015 1:40,4,8.1,154,1,0,1020.8,1017.2,1020.8,0,90.1,3,21,9.72,16.8,17.1,17.1,17
18/9/2015 1:50,3,8.3,158,0,0,1020.8,1017.2,1020.8,0,91.4,2,28,9.69,16.7,17.1,17.1,17
18/9/2015 2:00,0,8.3,159,0,0,1020.7,1017.1,1020.7,0,92.5,0,32,9.51,16.6,17.1,17.1,17
18/9/2015 2:10,0,8.2,159,0,0,1020.7,1017.1,1020.7,0,93.8,0,18,9.24,16.5,17,17.1,17
18/9/2015 2:20,3,8.2,159,0,0,1020.6,1017,1020.6,0,94.9,1,17,9.03,16.5,17,17.1,17
18/9/2015 2:30,3,8.1,159,0,0,1020.7,1017.1,1020.7,0,95.4,1,22,8.8,16.4,16.9,17.1,17
18/9/2015 2:40,4,8.1,162,4,0,1020.6,1017,1020.6,0,96.3,2,14,8.75,16.3,16.9,17.1,17
18/9/2015 2:50,4,8.4,171,0,0,1020.4,1016.8,1020.4,0,97.2,2,3,8.86,16.3,16.8,17.1,17
18/9/2015 3:00,0,8.3,171,0,0,1020.4,1016.8,1020.4,0,97.3,0,8,8.72,16.2,16.8,17.1,17
18/9/2015 3:10,0,8.2,171,0,0,1020.5,1016.9,1020.5,0,97.3,0,3,8.63,16.1,16.8,17.1,17
18/9/2015 3:20,0,8.6,171,0,-0.1,1020.5,1016.9,1020.5,0,97.3,0,8,9.02,16.1,16.7,17,17
18/9/2015 3:30,0,8.6,171,0,0,1020.6,1017,1020.6,0,97.3,0,12,9.05,16,16.7,17,17
18/9/2015 3:40,0,8.2,171,0,0,1020.6,1017,1020.6,0,97.3,0,20,8.7,15.9,16.6,17,17
18/9/2015 3:50,3,7.8,171,0,0,1020.5,1016.9,1020.5,0,97.2,1,24,8.32,15.9,16.6,17,17
18/9/2015 4:00,4,7.5,172,1,0,1020.6,1017,1020.6,0,97.2,2,14,7.92,15.8,16.6,17,17
18/9/2015 4:10,3,7.4,175,0,0,1020.6,1017,1020.6,0,97.3,3,13,7.9,15.7,16.5,17,17
18/9/2015 4:20,4,7.7,176,1,0,1020.6,1017,1020.6,0,97.3,3,17,8.16,15.7,16.5,17,17
18/9/2015 4:30,4,7.6,185,3,0,1020.6,1017,1020.6,0,97.4,4,12,8.08,15.6,16.4,17,17
18/9/2015 4:40,4,7.5,189,0,0,1020.6,1017,1020.6,0,97.4,3,13,7.91,15.5,16.4,17,17
18/9/2015 4:50,3,7.3,189,0,0,1020.6,1017,1020.6,0,97.3,3,20,7.8,15.5,16.3,16.9,17.1
