WAST,T,DP,Dta,Dts,EV,QFE,QFF,QNH,RF,RH,S,SR,ST1,ST2,ST3,ST4,Sx
1/3/2014 9:00,29.56,2.1,56,19,0.1,1012.3,1015.7,1015.9,0,17.3,8,616,29.3,30,29.3,28.1,12
1/3/2014 9:10,30.56,2.1,45,22,0.1,1012.3,1015.7,1015.9,0,16.3,7,647,29.3,30,29.4,28.1,15
1/3/2014 9:20,30.77,1.3,50,20,0.1,1012.4,1015.8,1016,0,15.2,7,692,29.2,30,29.4,28.1,11
1/3/2014 9:30,31.37,1.6,49,22,0.2,1012.4,1015.7,1016,0,15,8,720,29.2,30,29.4,28.1,13
1/3/2014 9:40,31.56,0.3,39,22,0.1,1012.4,1015.7,1016,0,13.5,7,754,29.2,29.9,29.4,28.1,11
16/8/2014 2:50,8.39,8,36,0,0,1020.1,1023.7,1023.7,0,97.9,0,16,15.8,16.3,16.5,16.7,0
16/8/2014 3:00,8.25,7.9,36,0,0,1020,1023.6,1023.6,0,97.9,0,26,15.8,16.3,16.5,16.7,0
16/8/2014 3:10,8.51,8.2,36,0,0,1020,1023.6,1023.6,0,98,0,16,15.7,16.3,16.5,16.7,0
16/8/2014 3:20,8.27,7.9,36,0,0,1019.9,1023.5,1023.5,0,98,0,19,15.6,16.2,16.5,16.7,0
16/8/2014 3:30,7.83,7.5,36,0,0,1019.9,1023.6,1023.5,0,98,0,22,15.6,16.2,16.5,16.7,0
27/1/2015 6:00,23.79,4.8,86,16,0,1004.7,1008.1,1008.3,0,29.2,8,43,32.4,31.1,29.6,27.6,12
27/1/2015 6:10,23.9,4.7,89,15,0,1004.7,1008.1,1008.3,0,28.9,8,70,32.3,31.1,29.6,27.6,15
27/1/2015 6:20,24.24,4.6,84,15,0,1004.7,1008.1,1008.3,0,28.1,8,104,32.2,31.1,29.6,27.6,12
27/1/2015 6:30,24.52,4.6,84,14,0.1,1004.8,1008.2,1008.4,0,27.6,7,137,32.2,31.1,29.6,27.6,11
27/1/2015 6:40,24.81,4.3,84,11,0,1004.9,1008.3,1008.5,0,26.6,8,182,32.1,31.1,29.6,27.6,11
1/3/2016 8:20,6,13.8,176,17,0,1020.8,1017.2,1020.7,0,73.4,4,501,18.67,27.3,28.3,28.4,27.6
1/3/2016 8:30,6,13.8,164,28,0.1,1020.8,1017.2,1020.7,0,70.6,4,533,19.35,27.2,28.3,28.4,27.6
1/3/2016 8:40,6,13.5,179,15,0.1,1020.8,1017.2,1020.7,0,67.1,4,563,19.82,27.1,28.3,28.4,27.6
1/3/2016 8:50,6,13.4,162,23,0,1020.7,1017.1,1020.6,0,64.2,4,609,20.4,27.1,28.3,28.4,27.6
1/3/2016 9:00,6,13.3,172,42,0.1,1020.7,1017.1,1020.6,0,62.4,4,635,20.76,27,28.2,28.4,27.6
